,Name,Price,Volume
0,GTB,0.9800000190734863,10250000
1,LEE,2.680000066757202,227900
2,NER,7.5,20653700
3,PPPM,0.3100000023841858,25513300
4,TRUBB,2.5799999237060547,8805600
5,ASIAN,17.899999618530273,22984100
6,BRR,6.0,367000
7,CBG,126.0,3882800
8,CFRESH,2.319999933242798,2438300
9,ICHI,11.0,4577300
10,MALEE,6.949999809265137,179700
11,PM,10.100000381469727,1057600
12,SORKON,5.75,1003100
13,SUN,7.5,5456700
14,TC,5.849999904632568,269800
15,TKN,6.900000095367432,7051100
16,ZEN,11.699999809265137,69400
17,PAF,1.559999942779541,2251300
18,SABINA,19.100000381469727,1080100
19,UPF,66.0,2100
20,DTCI,28.0,400
21,TCMC,1.7100000381469727,985200
22,TSR,3.4800000190734863,816800
23,DDD,17.399999618530273,683300
24,OCC,9.899999618530273,3000
25,STGT,33.0,25042100
26,TOG,8.850000381469727,1018600
27,AMANAH,5.199999809265137,7578600
28,FNS,4.059999942779541,315000
29,FSS,4.639999866485596,8053500
30,KCAR,8.550000190734863,32400
31,MICRO,7.699999809265137,2699500
32,ML,1.2799999713897705,4273100
33,NCAP,12.199999809265137,8555000
34,SAK,8.600000381469727,5859800
35,TK,9.350000381469727,161900
36,UOBKH,4.940000057220459,226700
37,KWG,1.7200000286102295,184200
38,THRE,1.3600000143051147,4762000
39,EASON,1.690000057220459,776300
40,IHL,3.8399999141693115,530400
41,SPG,17.799999237060547,5300
42,TKT,2.0,588100
43,TSC,11.199999809265137,7700
44,ALLA,1.9299999475479126,6536700
45,CPT,0.9200000166893005,11125500
46,CRANE,1.5199999809265137,5185800
47,KKC,1.2100000381469727,517000
48,PK,2.5,10061600
49,TCJ,4.400000095367432,42200
50,IVL,42.5,24569200
51,PTTGC,58.75,22657600
52,SLP,1.0399999618530273,3477000
53,TPBI,4.940000057220459,240300
54,2S,6.25,2573000
55,AMC,6.800000190734863,4085300
56,CEN,2.0799999237060547,5062100
57,CITY,2.559999942779541,488500
58,CSP,2.940000057220459,4027200
59,GJS,0.3199999928474426,342447600
60,INOX,1.2400000095367432,21721900
61,MILL,1.340000033378601,6856400
62,PAP,5.25,841100
63,PERM,2.5999999046325684,1939800
64,SAM,1.2699999809265137,6587000
65,SMIT,4.5,171700
66,TGPRO,0.36000001430511475,89948900
67,THE,2.9600000381469727,3114100
68,COTTO,2.5999999046325684,11639500
69,DCON,0.5600000023841858,49139900
70,GEL,0.44999998807907104,272718300
71,SCC,408.0,2832400
72,TASCO,17.899999618530273,4036200
73,TOA,33.0,686600
74,TPIPL,1.7300000190734863,17682100
75,ANAN,1.6399999856948853,7438300
76,ASW,8.649999618530273,1978700
77,CI,0.9700000286102295,1846100
78,ESTAR,0.5899999737739563,13802700
79,EVER,0.3700000047683716,30198400
80,FPT,11.600000381469727,152600
81,J,3.0399999618530273,6791000
82,JCK,1.090000033378601,5530000
83,MBK,13.399999618530273,3249800
84,NUSA,0.4000000059604645,47851600
85,ORI,10.199999809265137,22448600
86,RML,0.9200000166893005,16123300
87,ROJNA,6.400000095367432,3433000
88,S,2.0199999809265137,5116700
89,SAMCO,1.600000023841858,908200
90,SIRI,1.2599999904632568,494138400
91,WIN,0.9200000166893005,8516700
92,BJCHI,1.9600000381469727,1262300
93,CNT,1.9199999570846558,296900
94,ITD,2.2200000286102295,27014600
95,PLE,0.8799999952316284,8130700
96,PYLON,4.460000038146973,789200
97,RT,2.2200000286102295,3478000
98,SEAFCO,4.5,2682400
99,SQ,2.2799999713897705,3886600
100,SRICHA,20.100000381469727,751300
101,STPI,4.28000020980835,2560000
102,UNIQ,6.349999904632568,2352000
103,AGE,2.9800000190734863,5306500
104,AI,2.0799999237060547,11996600
105,BANPU,12.300000190734863,141988000
106,BCP,25.5,6589500
107,BPP,17.299999237060547,3679200
108,ESSO,7.849999904632568,24981800
109,ETC,2.5199999809265137,8321600
110,GUNKUL,4.71999979019165,62814600
111,LANNA,23.700000762939453,4982800
112,PTG,17.399999618530273,12139500
113,SCI,2.0,4026600
114,SCN,2.4200000762939453,3135900
115,SPRC,8.899999618530273,32835600
116,SUSCO,3.240000009536743,1017500
117,TOP,48.75,16673600
118,TPIPP,4.21999979019165,12379000
119,TSE,2.7200000286102295,78385500
120,WP,5.550000190734863,1391900
121,BEAUTY,1.5099999904632568,39960100
122,COM7,70.0,4307700
123,CRC,32.75,7013000
124,DOHOME,24.299999237060547,9437800
125,FN,2.180000066757202,1038200
126,FTE,1.809999942779541,1067000
127,GLOBAL,20.799999237060547,11338900
128,IT,6.050000190734863,797100
129,MC,9.25,1223600
130,MIDA,0.5600000023841858,9124600
131,RS,18.200000762939453,3110800
132,AHC,16.5,19600
133,AS,16.700000762939453,12568300
134,BEC,12.199999809265137,6483900
135,GRAMMY,13.600000381469727,50700
136,MACO,0.6800000071525574,18311500
137,MONO,1.5299999713897705,12268900
138,BWG,0.6800000071525574,83482400
139,GENCO,1.0,13676500
140,PROS,3.0999999046325684,12672300
141,SISB,9.149999618530273,162200
142,ERW,3.0,15267700
143,GRAND,0.5400000214576721,2596400
144,AAV,2.700000047683716,20583700
145,ASIMAR,2.640000104904175,713200
146,DMT,12.899999618530273,1503300
147,NYT,4.179999828338623,3643700
148,PSL,20.600000381469727,50312000
149,RCL,53.75,16814600
150,TTA,13.899999618530273,107061900
151,ALT,2.700000047683716,877300
152,DTAC,37.5,9936000
153,HUMAN,10.5,1351600
154,INET,4.039999961853027,2117200
155,JAS,2.7799999713897705,31003900
156,JTS,54.0,243500
